seed,total-variance,feature1-xor_xor_xor
3,0.15855095,-0.00303045
3,0.16272098,-0.00294318
3,0.16699991,-0.00283562
3,0.17143096,-0.00273426
3,0.17606980,-0.00262484
3,0.18142524,-0.00252579
3,0.18814056,-0.00244914
3,0.19548903,-0.00233927
3,0.20248811,-0.00226753
3,0.20987445,-0.00220325
3,0.21771947,-0.00214941
3,0.22592771,-0.00210836
3,0.23460926,-0.00204359
3,0.24383289,-0.00197358
3,0.25517237,-0.00180913
3,0.27236491,-0.00118606
3,0.32476014,0.00395734
3,0.51676649,0.04853370
3,2.76346231,0.18184613
3,6.17414522,0.24151589
3,8.12522221,0.25927243
3,9.40880203,0.26828101
3,10.35786629,0.27399948
3,11.11537743,0.27811913
3,11.74327564,0.28123384
3,12.27907562,0.28374802
3,12.75031090,0.28582178
3,13.16794205,0.28757479
3,13.54520702,0.28910140
3,13.88620567,0.29044864
3,14.19954300,0.29166035
3,14.48827457,0.29274993
3,14.75631714,0.29373667
3,15.00662518,0.29464406
3,15.24079514,0.29548137
3,15.46121883,0.29625554
3,15.66972160,0.29697319
3,15.86685085,0.29764504
3,16.05364227,0.29827228
