seed,epoch,test-loss,total-acc,test-acc_feature1,test-loss_feature1
4,9800,0.01678316,0.99414062,0.99414062,0.01678316
4,9900,0.01620782,0.99511719,0.99511719,0.01620782
4,10000,0.01565148,0.99609375,0.99609375,0.01565148
4,10100,0.01511955,0.99609375,0.99609375,0.01511955
4,10200,0.01465300,0.99609375,0.99609375,0.01465300
4,10300,0.01421937,0.99609375,0.99609375,0.01421937
4,10400,0.01381836,0.99609375,0.99609375,0.01381836
4,10500,0.01343699,0.99707031,0.99707031,0.01343699
4,10600,0.01309619,0.99707031,0.99707031,0.01309619
4,10700,0.01274818,0.99707031,0.99707031,0.01274818
4,10800,0.01242902,0.99707031,0.99707031,0.01242902
4,10900,0.01216648,0.99707031,0.99707031,0.01216648
4,11000,0.01188240,0.99707031,0.99707031,0.01188240
4,11100,0.01162056,0.99707031,0.99707031,0.01162056
4,11200,0.01137526,0.99707031,0.99707031,0.01137526
4,11300,0.01113633,0.99707031,0.99707031,0.01113633
4,11400,0.01091706,0.99707031,0.99707031,0.01091706
4,11500,0.01071789,0.99707031,0.99707031,0.01071789
4,11600,0.01050787,0.99707031,0.99707031,0.01050787
4,11700,0.01032083,0.99707031,0.99707031,0.01032083
4,11800,0.01014203,0.99804688,0.99804688,0.01014203
4,11900,0.00997019,0.99804688,0.99804688,0.00997019
4,12000,0.00981558,0.99804688,0.99804688,0.00981558
4,12100,0.00965311,0.99804688,0.99804688,0.00965311
4,12200,0.00949532,0.99804688,0.99804688,0.00949532
4,12300,0.00936028,0.99804688,0.99804688,0.00936028
4,12400,0.00921384,0.99804688,0.99804688,0.00921384
4,12500,0.00907050,0.99804688,0.99804688,0.00907050
4,12600,0.00894300,0.99804688,0.99804688,0.00894300
4,12700,0.00881254,0.99804688,0.99804688,0.00881254
4,12800,0.00868575,0.99804688,0.99804688,0.00868575
4,12900,0.00857569,0.99804688,0.99804688,0.00857569
4,13000,0.00845943,0.99804688,0.99804688,0.00845943
4,13100,0.00836026,0.99804688,0.99804688,0.00836026
4,13200,0.00825917,0.99804688,0.99804688,0.00825917
4,13300,0.00816393,0.99804688,0.99804688,0.00816393
4,13400,0.00806939,0.99804688,0.99804688,0.00806939
4,13500,0.00797618,0.99804688,0.99804688,0.00797618
4,13600,0.00788983,0.99804688,0.99804688,0.00788983
4,13700,0.00780148,0.99804688,0.99804688,0.00780148
4,13800,0.00771166,0.99804688,0.99804688,0.00771166
4,13900,0.00762883,0.99902344,0.99902344,0.00762883
4,14000,0.00754405,0.99902344,0.99902344,0.00754405
4,14100,0.00746510,0.99902344,0.99902344,0.00746510
4,14200,0.00738839,0.99902344,0.99902344,0.00738839
4,14300,0.00731392,0.99902344,0.99902344,0.00731392
4,14400,0.00724075,0.99902344,0.99902344,0.00724075
4,14500,0.00716530,0.99902344,0.99902344,0.00716530
4,14600,0.00709361,0.99902344,0.99902344,0.00709361
4,14700,0.00702640,0.99902344,0.99902344,0.00702640
4,14800,0.00695909,0.99902344,0.99902344,0.00695909
4,14900,0.00689420,0.99902344,0.99902344,0.00689420
4,15000,0.00682682,0.99902344,0.99902344,0.00682682
